DATE,M2
2001-04-01,5120.1200000000000000
2001-05-01,5117.8250000000000000
2001-06-01,5157.6750000000000000
2001-07-01,5188.4600000000000000
2001-08-01,5222.0750000000000000
2001-09-01,5324.8750000000000000
2001-10-01,5324.1800000000000000
2001-11-01,5364.3500000000000000
2001-12-01,5417.8800000000000000
2002-01-01,5439.9250000000000000
2002-02-01,5468.9750000000000000
2002-03-01,5482.1250000000000000
2002-04-01,5484.2400000000000000
2002-05-01,5508.9000000000000000
2002-06-01,5526.5750000000000000
2002-07-01,5571.1200000000000000
2002-08-01,5616.9750000000000000
2002-09-01,5641.6600000000000000
2002-10-01,5684.5250000000000000
2002-11-01,5733.5000000000000000
2002-12-01,5758.9400000000000000
2003-01-01,5790.0250000000000000
2003-02-01,5824.8750000000000000
2003-03-01,5846.9200000000000000
2003-04-01,5882.1500000000000000
2003-05-01,5944.9250000000000000
2003-06-01,5979.5200000000000000
2003-07-01,6025.1250000000000000
2003-08-01,6087.3500000000000000
2003-09-01,6064.9800000000000000
2003-10-01,6051.6250000000000000
2003-11-01,6053.3250000000000000
2003-12-01,6055.4400000000000000
2004-01-01,6058.0750000000000000
2004-02-01,6095.1500000000000000
2004-03-01,6132.6000000000000000
2004-04-01,6170.3250000000000000
2004-05-01,6251.7400000000000000
2004-06-01,6257.3500000000000000
2004-07-01,6268.0250000000000000
2004-08-01,6294.5800000000000000
2004-09-01,6329.9000000000000000
2004-10-01,6353.2250000000000000
2004-11-01,6385.4200000000000000
2004-12-01,6406.9750000000000000
2005-01-01,6394.2000000000000000
2005-02-01,6419.5750000000000000
2005-03-01,6427.7250000000000000
2005-04-01,6440.3750000000000000
2005-05-01,6458.3800000000000000
2005-06-01,6490.3500000000000000
2005-07-01,6516.1750000000000000
2005-08-01,6554.4200000000000000
2005-09-01,6587.5500000000000000
2005-10-01,6622.3600000000000000
2005-11-01,6640.4250000000000000
2005-12-01,6664.2000000000000000
2006-01-01,6706.4600000000000000
2006-02-01,6733.4500000000000000
2006-03-01,6748.3500000000000000
2006-04-01,6780.1250000000000000
2006-05-01,6792.6400000000000000
2006-06-01,6826.6500000000000000
2006-07-01,6869.8800000000000000
2006-08-01,6901.2500000000000000
2006-09-01,6926.5250000000000000
2006-10-01,6974.5800000000000000
2006-11-01,7011.6500000000000000
2006-12-01,7049.2250000000000000
2007-01-01,7093.0800000000000000
2007-02-01,7110.7500000000000000
2007-03-01,7135.3500000000000000
2007-04-01,7212.9400000000000000
2007-05-01,7229.6000000000000000
2007-06-01,7258.3250000000000000
2007-07-01,7292.3000000000000000
2007-08-01,7365.5750000000000000
2007-09-01,7388.6750000000000000
2007-10-01,7401.3200000000000000
2007-11-01,7424.4750000000000000
2007-12-01,7456.1000000000000000
2008-01-01,7485.1750000000000000
2008-02-01,7569.8000000000000000
2008-03-01,7638.4200000000000000
2008-04-01,7686.0250000000000000
2008-05-01,7692.8000000000000000
2008-06-01,7714.2400000000000000
2008-07-01,7759.4000000000000000
2008-08-01,7776.9000000000000000
2008-09-01,7831.5000000000000000
2008-10-01,7951.8500000000000000
2008-11-01,7983.0250000000000000
2008-12-01,8158.7200000000000000
2009-01-01,8258.2250000000000000
2009-02-01,8285.7250000000000000
2009-03-01,8351.8200000000000000
2009-04-01,8355.9250000000000000
2009-05-01,8413.8000000000000000
2009-06-01,8428.2400000000000000
2009-07-01,8431.7500000000000000
2009-08-01,8432.4600000000000000
2009-09-01,8431.2250000000000000
2009-10-01,8454.6750000000000000
2009-11-01,8485.6800000000000000
2009-12-01,8488.2000000000000000
2010-01-01,8440.0750000000000000
2010-02-01,8489.6500000000000000
